gpu_model,input_seq_len,output_seq_len,tensor_parallel,expert_parallel,concurrency,framework,actual_throughput,actual_ttft,actual_tpot,actual_e2e_latency,predicted_throughput_per_gpu,predicted_ttft_sec,predicted_tpot_sec,predicted_e2e_latency_sec,fits_on_hardware,bottleneck,throughput_abs_error,throughput_pct_error,ttft_abs_error,ttft_pct_error,tpot_abs_error,tpot_pct_error,e2e_latency_abs_error,e2e_latency_pct_error
b200,1024,1024,1.0,1.0,128,vllm,17364.11435607276,0.1377492891697329,0.0142570899067556,13.24606751671745,23900.907430065967,0.0895184699129856,0.0053554452011718,0.0948739151141574,True,compute,6536.793073993205,37.64541594202925,-0.0482308192567473,-35.01347959575886,-0.0089016447055838,-62.43661759729685,-13.151193601603293,-99.28375787761598
b200,1024,1024,1.0,1.0,32,vllm,7547.734373729266,0.0757672228501178,0.0082064538179753,7.649785358348163,5975.497992026792,0.0223796174782464,0.0053552022011718,0.0277348196794182,True,compute,-1572.2363817024734,-20.83057383649878,-0.053387605371871406,-70.46266626068953,-0.0028512516168034997,-34.74401586904881,-7.622050538668745,-99.63744316500134
b200,1024,1024,1.0,1.0,4,vllm,2031.6387471359103,0.0448323695687577,0.003798575106425,3.527578081889078,746.9471346950901,0.0053551212011718,0.0053551313261718,0.0107102525273437,True,memory,-1284.6916124408203,-63.23425433049582,-0.0394772483675859,-88.05523497267114,0.0015565562197467995,40.97737114935554,-3.5168678293617344,-99.69638510392355
b200,1024,1024,1.0,1.0,16,vllm,5155.466582459983,0.0582679359533358,0.0060561262104285,5.601745504804422,2987.771591752067,0.0111898087391232,0.0053551617011718,0.016544970440295,True,compute,-2167.6949907079165,-42.04653363641005,-0.0470781272142126,-80.79594110200743,-0.0007009645092567003,-11.574469964804509,-5.585200534364127,-99.70464616027085
b200,1024,1024,1.0,1.0,8,vllm,3237.0316247897813,0.0510200449381954,0.0047782532826815,4.486009625263978,1493.891444874784,0.0055949043695616,0.0053551414511718,0.0109500458207334,True,balanced,-1743.1401799149974,-53.84995829406517,-0.045425140568633796,-89.03390936574213,0.0005768881684903001,12.073201949783565,-4.475059579443244,-99.7559067693688
b200,1024,1024,1.0,1.0,64,vllm,11626.83147011188,0.1021069504888146,0.0106530171073972,9.917085935351498,11950.815222245414,0.0447592349564928,0.0053552832011718,0.0501145181576646,True,compute,323.9837521335339,2.786518003347445,-0.057347715532321805,-56.16436026909256,-0.005297733906225399,-49.7298920373157,-9.866971417193833,-99.49466487953865
b200,1024,1024,2.0,1.0,16,vllm,3365.525384023828,0.0441056720388587,0.0046281938819229,4.279777167976135,2987.771591752067,0.0111898087391232,0.0053551617011718,0.016544970440295,True,compute,-377.7537922717611,-11.22421462232794,-0.032915863299735504,-74.62954712658143,0.0007269678192488999,15.7073760908837,-4.2632321975358405,-99.61341514310385
b200,1024,1024,2.0,1.0,128,vllm,13251.330708847065,0.1034064824577853,0.0092968578533895,8.65131486795699,23900.907430065967,0.0895184699129856,0.0053554452011718,0.0948739151141574,True,compute,10649.576721218902,80.36609269821379,-0.01388801254479971,-13.430504756284847,-0.0039414126522177,-42.39510503842669,-8.556440952842832,-98.90335843091836
b200,1024,1024,2.0,1.0,32,vllm,5371.49309712554,0.0498503735288977,0.0057486211372673,5.355437862026156,5975.497992026792,0.0223796174782464,0.0053552022011718,0.0277348196794182,True,compute,604.0048949012526,11.244636900389487,-0.0274707560506513,-55.106419683549234,-0.00039341893609550014,-6.8437095905491905,-5.327703042346737,-99.48211854205091
b200,1024,1024,2.0,1.0,8,vllm,2015.8844132371569,0.0368997472454793,0.0038342407629845,3.5962646714411677,1493.891444874784,0.0055949043695616,0.0053551414511718,0.0109500458207334,True,balanced,-521.992968362373,-25.893992975725418,-0.0313048428759177,-84.8375536766121,0.0015209006881873005,39.66628029387128,-3.5853146256204345,-99.6955161307317
b200,1024,1024,2.0,1.0,4,vllm,1149.7582584614588,0.0350802802015095,0.0033555913617328,3.111569063924253,746.9471346950901,0.0053551212011718,0.0053551313261718,0.0107102525273437,True,memory,-402.8111237663687,-35.03441882690955,-0.029725159000337703,-84.7346681086619,0.0019995399644389994,59.588303487777885,-3.1008588113969093,-99.6557925500829
b200,1024,1024,2.0,1.0,64,vllm,8770.211126428929,0.0748435014505957,0.0070124925299476,6.535236868885477,11950.815222245414,0.0447592349564928,0.0053552832011718,0.0501145181576646,True,compute,3180.604095816485,36.265992345746064,-0.03008426649410291,-40.19623068271542,-0.0016572093287757998,-23.63224376637137,-6.485122350727812,-99.23316447187611
b200,1024,1024,4.0,1.0,8,vllm,1172.5440294501025,0.0329963646603573,0.0032918160161388,3.0882635433525136,1493.891444874784,0.0055949043695616,0.0053551414511718,0.0109500458207334,True,balanced,321.34741542468146,27.405999890288673,-0.027401460290795696,-83.04387641744223,0.0020633254350330005,62.68046041811348,-3.0773134975317804,-99.64543033109
b200,1024,1024,4.0,1.0,64,vllm,5762.997171035984,0.0605617932723362,0.0053187202634406,4.9605022691441265,11950.815222245414,0.0447592349564928,0.0053552832011718,0.0501145181576646,True,compute,6187.8180512094295,107.37152678659182,-0.0158025583158434,-26.09328004007734,3.656293773120038e-05,0.6874386303510606,-4.9103877509864615,-98.98972895407401
b200,1024,1024,4.0,1.0,4,vllm,646.024932793361,0.0297556075689499,0.0029851369719622,2.7662610586194205,746.9471346950901,0.0053551212011718,0.0053551313261718,0.0107102525273437,True,memory,100.92220190172907,15.62202893088807,-0.024400486367778102,-82.00298485331588,0.0023699943542095994,79.3931526918092,-2.755550806092077,-99.61282567695585
