gpu_model,input_seq_len,output_seq_len,tensor_parallel,expert_parallel,concurrency,framework,actual_throughput,actual_ttft,actual_tpot,actual_e2e_latency,predicted_throughput_per_gpu,predicted_ttft_sec,predicted_tpot_sec,predicted_e2e_latency_sec,fits_on_hardware,bottleneck,throughput_abs_error,throughput_pct_error,ttft_abs_error,ttft_pct_error,tpot_abs_error,tpot_pct_error,e2e_latency_abs_error,e2e_latency_pct_error
b200,1024,1024,1.0,1.0,128,vllm,17364.11435607276,0.1377492891697329,0.0142570899067556,13.24606751671745,23902.353502660113,0.0895184699129856,0.0053551212011718,0.0948735911141574,True,compute,6538.239146587352,37.653743879547356,-0.0482308192567473,-35.01347959575886,-0.0089019687055838,-62.438890150827184,-13.151193925603291,-99.28376032362495
b200,1024,1024,1.0,1.0,32,vllm,7547.734373729266,0.0757672228501178,0.0082064538179753,7.649785358348163,5975.588375665028,0.0223796174782464,0.0053551212011718,0.0277347386794182,True,compute,-1572.1459980642376,-20.82937634287009,-0.053387605371871406,-70.46266626068953,-0.0028513326168034996,-34.74500289708548,-7.622050619668745,-99.63744422385457
b200,1024,1024,1.0,1.0,4,vllm,2031.6387471359103,0.0448323695687577,0.003798575106425,3.527578081889078,746.9485469581285,0.0053551212011718,0.0053551212011718,0.0107102424023437,True,memory,-1284.6902001777817,-63.23418481700378,-0.0394772483675859,-88.05523497267114,0.0015565460947467996,40.97710460203935,-3.5168678394867343,-99.69638539094767
b200,1024,1024,1.0,1.0,16,vllm,5155.466582459983,0.0582679359533358,0.0060561262104285,5.601745504804422,2987.794187832514,0.0111898087391232,0.0053551212011718,0.016544929940295,True,compute,-2167.672394627469,-42.04609534280295,-0.0470781272142126,-80.79594110200743,-0.0007010050092567006,-11.575138709123783,-5.5852005748641265,-99.70464688325977
b200,1024,1024,1.0,1.0,8,vllm,3237.0316247897813,0.0510200449381954,0.0047782532826815,4.486009625263978,1493.897093916257,0.0055949043695616,0.0053551212011718,0.0109500255707334,True,balanced,-1743.1345308735242,-53.84978378105053,-0.045425140568633796,-89.03390936574213,0.0005768679184902994,12.072778154752145,-4.475059599693244,-99.7559072207722
b200,1024,1024,1.0,1.0,64,vllm,11626.83147011188,0.1021069504888146,0.0106530171073972,9.917085935351498,11951.176751330057,0.0447592349564928,0.0053551212011718,0.0501143561576646,True,compute,324.34528121817675,2.7896274410783706,-0.057347715532321805,-56.16436026909256,-0.0052978959062254,-49.73141273326848,-9.866971579193834,-99.49466651308303
b200,1024,1024,2.0,1.0,16,vllm,3365.525384023828,0.0441056720388587,0.0046281938819229,4.279777167976135,2987.794187832514,0.0111898087391232,0.0053551212011718,0.016544929940295,True,compute,-377.73119619131376,-11.223543224021022,-0.032915863299735504,-74.62954712658143,0.0007269273192488995,15.70650101950524,-4.26323223803584,-99.61341608941478
b200,1024,1024,2.0,1.0,128,vllm,13251.330708847065,0.1034064824577853,0.0092968578533895,8.65131486795699,23902.353502660113,0.0895184699129856,0.0053551212011718,0.0948735911141574,True,compute,10651.022793813048,80.37700535767357,-0.01388801254479971,-13.430504756284847,-0.0039417366522177,-42.398590086871124,-8.55644127684283,-98.9033621760138
b200,1024,1024,2.0,1.0,32,vllm,5371.49309712554,0.0498503735288977,0.0057486211372673,5.355437862026156,5975.588375665028,0.0223796174782464,0.0053551212011718,0.0277347386794182,True,compute,604.0952785394884,11.246319554292256,-0.0274707560506513,-55.106419683549234,-0.0003934999360955,-6.845118624090725,-5.327703123346738,-99.4821200545323
b200,1024,1024,2.0,1.0,8,vllm,2015.8844132371569,0.0368997472454793,0.0038342407629845,3.5962646714411677,1493.897093916257,0.0055949043695616,0.0053551212011718,0.0109500255707334,True,balanced,-521.9873193208998,-25.893712749268182,-0.0313048428759177,-84.8375536766121,0.0015208804381872999,39.66575215802243,-3.5853146458704344,-99.69551669381595
b200,1024,1024,2.0,1.0,4,vllm,1149.7582584614588,0.0350802802015095,0.0033555913617328,3.111569063924253,746.9485469581285,0.0053551212011718,0.0053551212011718,0.0107102424023437,True,memory,-402.8097115033303,-35.03429599560758,-0.029725159000337703,-84.7346681086619,0.0019995298394389995,59.58800175258702,-3.1008588215219093,-99.65579287548142
b200,1024,1024,2.0,1.0,64,vllm,8770.211126428929,0.0748435014505957,0.0070124925299476,6.535236868885477,11951.176751330057,0.0447592349564928,0.0053551212011718,0.0501143561576646,True,compute,3180.9656249011277,36.270114584987866,-0.03008426649410291,-40.19623068271542,-0.0016573713287758004,-23.634553929260083,-6.485122512727812,-99.23316695074571
b200,1024,1024,4.0,1.0,8,vllm,1172.5440294501025,0.0329963646603573,0.0032918160161388,3.0882635433525136,1493.897093916257,0.0055949043695616,0.0053551212011718,0.0109500255707334,True,balanced,321.3530644661546,27.406481666779044,-0.027401460290795696,-83.04387641744223,0.002063305185033,62.67984525615117,-3.0773135177817803,-99.64543098679829
b200,1024,1024,4.0,1.0,64,vllm,5762.997171035984,0.0605617932723362,0.0053187202634406,4.9605022691441265,11951.176751330057,0.0447592349564928,0.0053551212011718,0.0501143561576646,True,compute,6188.179580294072,107.37780006894668,-0.0158025583158434,-26.09328004007734,3.640093773119978e-05,0.684392784884922,-4.910387912986462,-98.98973221987232
b200,1024,1024,4.0,1.0,4,vllm,646.024932793361,0.0297556075689499,0.0029851369719622,2.7662610586194205,746.9485469581285,0.0053551212011718,0.0053551212011718,0.0107102424023437,True,memory,100.92361416476751,15.622247539020165,-0.024400486367778102,-82.00298485331588,0.0023699842292095995,79.3928135113932,-2.755550816217077,-99.61282604297337
b200,1024,1024,4.0,1.0,32,vllm,3413.059477805744,0.0418130394507898,0.0045133162448894,4.207103625143645,5975.588375665028,0.0223796174782464,0.0053551212011718,0.0277347386794182,True,compute,2562.5288978592844,75.08011256536128,-0.0194334219725434,-46.47694170957076,0.0008418049562823994,18.651583682743418,-4.1793688864642276,-99.34076407070978
b200,1024,1024,4.0,1.0,16,vllm,2050.3980299834725,0.0341966841835528,0.0038000586692472,3.511863025825005,2987.794187832514,0.0111898087391232,0.0053551212011718,0.016544929940295,True,compute,937.3961578490416,45.71776524076145,-0.023006875444429604,-67.27808848641227,0.0015550625319245997,40.922066401481665,-3.49531809588471,-99.52888453169643
